Name,Project Title,Amount($),Fiscal Year,Program
"Kamel, Mohamed",Discrimination of critical objects and event in pervasive multimodal surveillance systems,115208,2010-2011,Collaborative Research and Development Grants
"Kaminska, Bozena",Wireless sensor network for occupational health and safety in harsh environments,24875,2011-2012,Engage Grants Program
"Kaminska, Bozena",Transformative nano-media for concurrent multispectral high-density information storage and high-resolution visual display,100000,2014-2015,Collaborative Research and Development Grants
"Kaminska, Bozena",Transformative nano-media for concurrent multispectral high-density information storage and high-resolution visual display,100000,2015-2016,Collaborative Research and Development Grants
"Kaminska, Bozena",Transformative nano-media for concurrent multispectral high-density information storage and high-resolution visual display,100000,2016-2017,Collaborative Research and Development Grants
"Kang, Jin",Designing Collaborative Pedagogical Agents That Can Promote STEM College Students' Cognitive and Emotional Engagement with Human Teachers,22500,2021-2022,Postdoctoral Fellowships
"Kang, JinJ",Designing Collaborative Pedagogical Agents That Can Promote STEM College Students' Cognitive and Emotional Engagement with Human Teachers,45000,2022-2023,Postdoctoral Fellowships
"Kanji, John",A Deep Pipeline for Autonomous Virtual Actors,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Kanji, John",A Deep Pipeline for Autonomous Virtual Actors,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Kanji, John",A Deep Pipeline for Autonomous Virtual Actors,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Kantarci, Burak",Artificial Intelligence-Based Decision Support System for COVID-19 Mobile Assessments and Optimal Supply Services During the Pandemic,50000,2020-2021,Alliance Grants
"Kantarci, Burak",Mobile social network analytics and mobile edge solutions for trustworthy and reliable urban sensing,50000,2022-2023,Discovery Grants Program - Individual
"Kantarci, Burak BK",NSERC CREATE Program for Training and Research in Autonomous Vehicles for Reliable Services in the Air and on Land (TRAVERSAL),150000,2023-2024,Collaborative Research and Training Experience
"Kantere, Vasiliki",Managing the Performance of Big Data Analytics on Heterogeneous Infrastructures,23000,2022-2023,Discovery Grants Program - Individual
"Kaplan, Craig",Geometry-guided synthesis of patterns and textures,41000,2022-2023,Discovery Grants Program - Individual
"Kapron, Bruce",The Complexity of Computing with Infinite Data,55000,2022-2023,Discovery Grants Program - Individual
"Kapron, Bruce",Computational and logical foundations of privacy and security,15000,2010-2011,Discovery Grants Program - Individual
"Kara, Nadjia",Serverless edge computing framework to support delivery of data intensive and latency-sensitive applications in a sustainable manner,34784,2021-2022,Alliance Grants
"Kara, Nadjia",Dynamic SLA-based resource management for virtualized network functions,89476,2016-2017,Collaborative Research and Development Grants
"Kara, Nadjia",Dynamic SLA-based resource management for virtualized network functions,102976,2017-2018,Collaborative Research and Development Grants
"Kara, Nadjia",Dynamic SLA-based resource management for virtualized network functions,73476,2018-2019,Collaborative Research and Development Grants
"Kara, Nadjia",Design and development of smart and open virtualized communication environments,26000,2022-2023,Discovery Grants Program - Individual
"Kara, NadjiaN",Development of a UAV-based persistent surveillance system,30000,2022-2023,Alliance Grants
"Kara, NadjiaN",Serverless edge computing framework to support delivery of data intensive and latency-sensitive applications in a sustainable manner,34784,2022-2023,Alliance Grants
"Kargar, Mehdi",Efficient and Effective Search over Graph-like Databases,20000,2022-2023,Discovery Grants Program - Individual
"Karimi, Mohammadreza",Brain EEG Signal Processing Using Hyper-dimensional Computing: Combined Machine Learning And Classif,4500,2019-2020,University Undergraduate Student Research Awards
"Karmouch, Ahmed",Programmable Named Data-based Next Generation Software-Defined WANs,41000,2022-2023,Discovery Grants Program - Individual
"Karray, Fakhreddine",Multi Purpose Platform for Virtual Care System,46000,2023-2024,Discovery Grants Program - Individual
"Karsten, Martin",Runtime Systems for Large-Scale Software Services,23000,2022-2023,Discovery Grants Program - Individual
"Kashef, Rasha",Towards Robust and Trustworthy Recommendation Systems,29000,2022-2023,Discovery Grants Program - Individual
"Kaur, Kuljeet",Carbon Intelligent Computing for Hyper-scale Data-centres: Matching Computing and Networking with Global Economy Needs,27164,2022-2023,Discovery Grants Program - Individual
"Kaur, Kuljeet",Software Defined Infrastructure for Sustainable Hyperscale Computing,22500,2018-2019,Postdoctoral Fellowships
"Kaur, Kuljeet",Software Defined Infrastructure for Sustainable Hyperscale Computing,15000,2020-2021,Postdoctoral Fellowships
"Kaur, Kuljeet",Software Defined Infrastructure for Sustainable Hyperscale Computing,22500,2019-2020,Postdoctoral Fellowships
"Kawahara, Jeremy","Medical image analysis for augmented reality in minimally invasive surgery: integrating endoscopic video, computed tomography and ultrasound",21000,2014-2015,Postgraduate Scholarships - Doctoral
"Kay, Matthew",User interface techniques for the dynamic generation of personalized software agreements,10500,2013-2014,Postgraduate Scholarships - Doctoral
"Kay, Matthew",User interface techniques for the dynamic generation of personalized software agreements,10500,2012-2013,Postgraduate Scholarships - Doctoral
"Kay, Matthew",User interface techniques for the dynamic generation of personalized software agreements,21000,2011-2012,Postgraduate Scholarships - Doctoral
"Kazi, Mahrusuddin",Artificial Intelligence in Radiation Therapy Treatment Planning,4500,2020-2021,University Undergraduate Student Research Awards
"Kearney, Alexandra",Independent Learning for Artificially Intelligent Systems,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Kearney, Alexandra",Independent Learning for Artificially Intelligent Systems,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Kearney, Alexandra",Independent Learning for Artificially Intelligent Systems**,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Kearney, Alexandra",Independent Learning for Artificially Intelligent Systems,17500,2017-2018,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Kehrig, Kallin",Machine Learning Techniques for Transforming Voice Audio,6000,2021-2022,University Undergraduate Student Research Awards
"Keliher, Liam",Algorithmic analysis of symmetric-key cryptographic primitives,15000,2012-2013,Discovery Grants Program - Individual
"Keliher, Liam",Algorithmic analysis of symmetric-key cryptographic primitives,15000,2010-2011,Discovery Grants Program - Individual
"Keliher, Liam",Algorithmic analysis of symmetric-key cryptographic primitives,15000,2011-2012,Discovery Grants Program - Individual
"Keliher, Liam",Algorithmic analysis of symmetric-key cryptographic primitives,15000,2013-2014,Discovery Grants Program - Individual
"Keller, Alexander",Data Communication in Inter-Critical Infrastructures,4500,2013-2014,University Undergraduate Student Research Awards
"Kelly, Diane",Identifying useful software engineering practices for scientists,19000,2014-2015,Discovery Grants Program - Individual
"Kelly, Diane",Identifying useful software engineering practices for scientists,19000,2011-2012,Discovery Grants Program - Individual
"Kelly, Diane",Identifying useful software engineering practices for scientists,19000,2010-2011,Discovery Grants Program - Individual
"Kelly, Diane",Identifying useful software engineering practices for scientists,19000,2012-2013,Discovery Grants Program - Individual
"Kemertas, MeteM",Visual reinforcement learning with theoretical guarantees,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Kemme, Bettina",Cloud / Distributed Computing Infrastructure,146901,2016-2017,Research Tools and Instruments
"Kent, Kenneth",Improving Data Organization in Managed Runtimes for Improved Performance,34000,2022-2023,Discovery Grants Program - Individual
"Kerschbaum, Florian",Systems for Computation on Encrypted Data,40000,2018-2019,Discovery Grants Program - Accelerator Supplements
"Kerschbaum, Florian",Systems for Computation on Encrypted Data,40000,2017-2018,Discovery Grants Program - Accelerator Supplements
"Kerschbaum, Florian",Systems for Computation on Encrypted Data,40000,2019-2020,Discovery Grants Program - Accelerator Supplements
"Kersten, Marta","Novel display, visualization and interaction paradigms for enhanced understanding of complex, multidimensional medical images",25000,2022-2023,Discovery Grants Program - Individual
"Keselj, Vlado",Harmonizing String and Unification-based Methodology with Machine Learning for Text Mining and Processing,28000,2022-2023,Discovery Grants Program - Individual
"Keselj, Vlado",Harmonizing String and Unification-based Methodology with Machine Learning for Text Mining and Processing,28000,2021-2022,Discovery Grants Program - Individual
"Keselj, Vlado",Harmonizing String and Unification-based Methodology with Machine Learning for Text Mining and Processing,28000,2019-2020,Discovery Grants Program - Individual
"Keselj, Vlado",Harmonizing String and Unification-based Methodology with Machine Learning for Text Mining and Processing,28000,2020-2021,Discovery Grants Program - Individual
"Keselj, Vlado",Social Media Analytics for Effective and Efficient Event Detection,25000,2018-2019,Engage Grants Program
"Keselj, Vlado",Combined N-gram and Semantic Approach to Assignment Feedback Analysis and Generation,25000,2016-2017,Engage Grants Program
"Keselj, Vlado",Behavioural Analytics for Large-scale Data Streams,93400,2012-2013,Collaborative Research and Development Grants
"Keselj, Vlado",Developing NLP Capabilities for Quality and Risk Attribute Analysis of Requirements Specifications and Technical Documentation,22800,2015-2016,Engage Grants Program
"Khaghani Milani, Mostafa M",Optimizing Provenance Generation in Datalog Queries: Closing the Theory-to-Practice Divide,25000,2023-2024,Alliance Grants
"KhaghaniMilani, Mostafa",Improving Users' Access to Quality Data,24000,2022-2023,Discovery Grants Program - Individual
"Khalil, Elias",New Machine Learning Approaches for Discrete Optimization,24000,2022-2023,Discovery Grants Program - Individual
"Khan, Hassan",Robust Artificial Intelligence Systems to Improve Security of Smartphone Users,28000,2021-2022,Discovery Grants Program - Individual
"Khan, Hassan",Robust Artificial Intelligence Systems to Improve Security of Smartphone Users,28000,2022-2023,Discovery Grants Program - Individual
"Khan, Hassan",Robust Artificial Intelligence Systems to Improve Security of Smartphone Users,12500,2019-2020,Discovery Launch Supplement
"Khan, Hassan",Robust Artificial Intelligence Systems to Improve Security of Smartphone Users,28000,2020-2021,Discovery Grants Program - Individual
"Khan, Hassan",Robust Artificial Intelligence Systems to Improve Security of Smartphone Users,28000,2019-2020,Discovery Grants Program - Individual
"Khan, Shakil",Action-theoretic formalization of actual causation and its applications,25000,2022-2023,Discovery Grants Program - Individual
"Khan, Shakil",Action-theoretic formalization of actual causation and its applications,25000,2023-2024,Discovery Grants Program - Individual
"Khan, Shehroz",Unsupervised Deep Learning Framework for Solving One Class Classification Problems,24000,2022-2023,Discovery Grants Program - Individual
"Khan, ShehrozS",Development of AI framework for the prediction of future anomalous events,25000,2022-2023,Alliance Grants
"Kharma, Nawwaf",An Improved Sparse Distributed Memory for Anomaly Detection Applications,23000,2015-2016,Engage Grants Program
"Kharma, Nawwaf",Evolutionary Computing Application to Biomedical Image Segmentation,14000,2016-2017,Discovery Grants Program - Individual
"Kharma, Nawwaf",Evolutionary Computing Application to Biomedical Image Segmentation,14000,2015-2016,Discovery Grants Program - Individual
"Kharma, Nawwaf",Evolutionary Computing Application to Biomedical Image Segmentation,14000,2014-2015,Discovery Grants Program - Individual
"Kharma, Nawwaf",Evolutionary Computing Application to Biomedical Image Segmentation,14000,2013-2014,Discovery Grants Program - Individual
